clk cycle 0 | PC: 00000000 | Instruction: 10010011
clk cycle 1 | PC: 00000004 | Instruction: 00000010
clk cycle 2 | PC: 00000008 | Instruction: 01010000
clk cycle 3 | PC: 0000000C | Instruction: 00000000
clk cycle 4 | PC: 00000010 | Instruction: 00010011
clk cycle 5 | PC: 00000014 | Instruction: 00000011
clk cycle 6 | PC: 00000018 | Instruction: 01100000
clk cycle 7 | PC: 0000001C | Instruction: 11111111
clk cycle 8 | PC: 00000020 | Instruction: 10010011
clk cycle 9 | PC: 00000024 | Instruction: 00000011
clk cycle 10 | PC: 00000028 | Instruction: 00110000
clk cycle 11 | PC: 0000002C | Instruction: 00000000
clk cycle 12 | PC: 00000030 | Instruction: 00010011
clk cycle 13 | PC: 00000034 | Instruction: 00001110
clk cycle 14 | PC: 00000038 | Instruction: 11110000
clk cycle 15 | PC: 0000003C | Instruction: 11111111
clk cycle 16 | PC: 00000040 | Instruction: 10010011
clk cycle 17 | PC: 00000044 | Instruction: 00001110
clk cycle 18 | PC: 00000048 | Instruction: 01010000
clk cycle 19 | PC: 0000004C | Instruction: 00000000
clk cycle 20 | PC: 00000050 | Instruction: 00010011
clk cycle 21 | PC: 00000054 | Instruction: 00001111
clk cycle 22 | PC: 00000058 | Instruction: 10110000
clk cycle 23 | PC: 0000005C | Instruction: 00000000
clk cycle 24 | PC: 00000060 | Instruction: 10010011
clk cycle 25 | PC: 00000064 | Instruction: 10001111
clk cycle 26 | PC: 00000068 | Instruction: 01010010
clk cycle 27 | PC: 0000006C | Instruction: 11111111
